Presidente Id	Progressivo Lista	Lista Id	
	10		10_FASCEGN_105px.png
	11		11_CASA_AUTONOMIA_105px.png
	12		12_DEMOCRAZIA_SOVRANA_POPOLARE_105px.png
	13		13_UNIONE_DI_CENTRO_UDC_105px.png
	14		14_FORZA_ITALIA_105px.png
	15		15_LA_ME_VAL_PRIMIERO_VANOI_MIS_105px.png
	16		16_ONDA_105px.png
	17		17_UNIONE_POPOLARE_105px.png
	18		18_AZIONE_105px.png
	19		19_MOVIMENTO_5_STELLE_105px.png
	1		1_GIOVANI_PER_DIVINA_PRESIDENTE_105px.png
	20		20_LA_CIVICA_105px.png
	21		21_PARTITO_DEMOCRATICO_DEL_TRENTINO_105px.png
	22		22_PARTITO_AUTONOMISTA_TRENTINO_TIROLESE-PATT_105px.png
	23		23_ALTERNATIVA_105px.png
	24		24_FASSA_105px-2.png
	2		2_ITALIA_VIVA_105px.png
	3		3_NOI_TRENTINO_PER_FUGATTI_PRESIDENTE_105px.png
	4		4_LEGA_FUGATTI_PRESIDENTE_105px.png
	5		5_NOI_CON_DIVINA_PRESIDENTE_105px.png
	6		6_CAMPOBASE_105px.png
	7		7_ALLEANZA_VERDI_E_SINISTRA_105px.png
	8		8_ALTERNATIVA_POPOLARE_PER_IL_TRENTINO_105px.png
	9		9_FRATELLI_D_ITALIA_105px.png
